coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,hit-id,is-test
N.A.,Aquilegia_jonesii,8643041,299925,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.6035008.jpg,A27O3JHQ2ZSCUW,20681,False,1060,422,flower,2024-04-15,19:03:01,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,False
N.A.,Aquilegia_jonesii,8643095,299925,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.6035008.jpg,A27O3JHQ2ZSCUW,20681,False,976,354,flower,2024-04-15,19:03:07,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,False
N.A.,Aquilegia_jonesii,8643278,299925,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.6035008.jpg,A27O3JHQ2ZSCUW,20681,False,399.3333333333333,913.3333333333334,fruit,2024-04-15,19:03:29,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,False
N.A.,Aquilegia_jonesii,8643293,299925,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.6035008.jpg,A27O3JHQ2ZSCUW,20681,False,245.33333333333334,913.3333333333334,fruit,2024-04-15,19:03:31,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,False
N.A.,Aquilegia_jonesii,8643784,299919,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.4781826.jpg,A27O3JHQ2ZSCUW,20681,False,603.2,310.4,flower,2024-04-15,19:04:32,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,False
N.A.,Aquilegia_jonesii,8643857,299919,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.4781826.jpg,A27O3JHQ2ZSCUW,20681,False,334.4,992,flower,2024-04-15,19:04:41,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,False
N.A.,Aquilegia_jonesii,8643946,299921,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.4847890.jpg,A27O3JHQ2ZSCUW,20681,False,580,597,fruit,2024-04-15,19:04:52,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,False
N.A.,Aquilegia_jonesii,8644022,299921,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.4847890.jpg,A27O3JHQ2ZSCUW,20681,False,845,897,fruit,2024-04-15,19:05:02,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,False
N.A.,Aquilegia_jonesii,8644455,299920,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.4847887.jpg,A27O3JHQ2ZSCUW,20681,False,1190,190,flower,2024-04-15,19:05:58,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,False
N.A.,Aquilegia_jonesii,8644462,299920,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.4847887.jpg,A27O3JHQ2ZSCUW,20681,False,1100,199,flower,2024-04-15,19:05:59,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,False
N.A.,Aquilegia_jonesii,8644581,299927,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.14704825.jpg,A27O3JHQ2ZSCUW,20681,False,1090,582,fruit,2024-04-15,19:06:18,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,False
N.A.,Aquilegia_jonesii,8644659,299927,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.14704825.jpg,A27O3JHQ2ZSCUW,20681,False,884,1150,fruit,2024-04-15,19:06:30,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,False
N.A.,Aquilegia_jonesii,8644674,299927,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.14704825.jpg,A27O3JHQ2ZSCUW,20681,False,306,1040,fruit,2024-04-15,19:06:32,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,False
N.A.,Aquilegia_jonesii,8644782,299923,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.4847895.jpg,A27O3JHQ2ZSCUW,20681,False,518,506,flower,2024-04-15,19:06:50,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,False
N.A.,Aquilegia_jonesii,8644796,299923,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.4847895.jpg,A27O3JHQ2ZSCUW,20681,False,263,302,flower,2024-04-15,19:06:52,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,False
N.A.,Aquilegia_jonesii,8644870,299923,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.4847895.jpg,A27O3JHQ2ZSCUW,20681,False,566,542,flower,2024-04-15,19:07:06,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,False
N.A.,Aquilegia_jonesii,8644952,299923,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.4847895.jpg,A27O3JHQ2ZSCUW,20681,False,941,795,flower,2024-04-15,19:07:17,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,False
N.A.,Aquilegia_jonesii,8644963,299923,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.4847895.jpg,A27O3JHQ2ZSCUW,20681,False,771,1110,flower,2024-04-15,19:07:19,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,False
