coreID,species,annotation-ID,image-ID,image-URL,bud,flower,fruit,is-duplicated,set-number,sequence,username,user-ID,time-spent (seconds),date,time,is-test
N.A,Parnassia_fimbriata,9032998,startTest1,N/A,N/A,N/A,N/A,False,1,0,AFQ9L1US2H1X9,22638,0.0,2024-04-16,19:23:20,True
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
N.A,Parnassia_fimbriata,9034203,submitTest1,N/A,N/A,N/A,N/A,False,1,1,AFQ9L1US2H1X9,22638,0.0,2024-04-16,19:26:14,True
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
N.A,Parnassia_fimbriata,9035188,submitTest2,N/A,N/A,N/A,N/A,False,1,2,AFQ9L1US2H1X9,22638,0.0,2024-04-16,19:28:17,True
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
N.A,Parnassia_fimbriata,9043095,startTest1,N/A,N/A,N/A,N/A,False,1,0,AT0DZZHUS4IYG,22397,0.0,2024-04-16,19:46:22,True
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
N.A,Parnassia_fimbriata,9043200,startTest1,N/A,N/A,N/A,N/A,False,1,0,A3IW2X024LI3NK,21976,0.0,2024-04-16,19:46:34,True
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
N.A,Parnassia_fimbriata,9044175,submitTest1,N/A,N/A,N/A,N/A,False,1,1,AT0DZZHUS4IYG,22397,0.0,2024-04-16,19:48:55,True
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
N.A,Parnassia_fimbriata,9044353,startTest1,N/A,N/A,N/A,N/A,False,1,0,ABPGLXNWXQ9V4,21942,0.0,2024-04-16,19:49:23,True
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
N.A,Parnassia_fimbriata,9044511,325444,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.25300534.jpg,1,2,0,False,1,1,ABPGLXNWXQ9V4,21942,14.75,2024-04-16,19:49:44,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Parnassia_fimbriata,9044458,325444,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.25300534.jpg,ABPGLXNWXQ9V4,21942,False,898,334,flower,2024-04-16,19:49:37,False
,N.A.,Parnassia_fimbriata,9044476,325444,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.25300534.jpg,ABPGLXNWXQ9V4,21942,False,848,670,flower,2024-04-16,19:49:39,False
,N.A.,Parnassia_fimbriata,9044502,325444,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.25300534.jpg,ABPGLXNWXQ9V4,21942,False,618,416,bud,2024-04-16,19:49:42,False
N.A,Parnassia_fimbriata,9044587,325448,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.25300667.jpg,0,3,0,False,1,2,ABPGLXNWXQ9V4,21942,10.01,2024-04-16,19:49:56,False
 ,coreID,species,annotation-ID,image-ID,image-URL,username,user-ID,is-duplicated,x,y,label,date,time,is-test
,N.A.,Parnassia_fimbriata,9044544,325448,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.25300667.jpg,ABPGLXNWXQ9V4,21942,False,545,361,flower,2024-04-16,19:49:50,False
,N.A.,Parnassia_fimbriata,9044558,325448,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.25300667.jpg,ABPGLXNWXQ9V4,21942,False,564,293,flower,2024-04-16,19:49:51,False
,N.A.,Parnassia_fimbriata,9044580,325448,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.25300667.jpg,ABPGLXNWXQ9V4,21942,False,1170,238,flower,2024-04-16,19:49:54,False
